T,Employment,Employment_seasoned,Emp_sea_f,Emp_sea_m,birth,salary,salary2,salary3,salary4,salary5,salary6
2012-1,73.5,73.5,68.1,79,"11,212",100.2,"8,781","8,571","8,804","8,597","8,662"
2012-2,73.5,73.4,67.9,79.1,"10,049",98.8,"8,845","8,622","8,812","8,588","8,539"
2012-3,73.9,73.8,68.4,79.4,"10,535",102.3,"8,824","8,568","8,825","8,584","8,841"
2012-4,74.2,73.9,68.3,79.7,"9,914",98.9,"8,877","8,601","8,842","8,587","8,549"
2012-5,74.2,74,68.5,79.6,"10,080",98.9,"9,013","8,727","8,864","8,597","8,549"
2012-6,74.5,74.3,68.7,80,"9,865",104.9,"8,930","8,690","8,891","8,615","9,070"
2012-7,74,74.1,68.7,79.8,"11,077",102.8,"8,946","8,697","8,923","8,639","8,882"
2012-8,74.6,75,69.9,80.2,"11,829",99.9,"8,955","8,661","8,957","8,667","8,638"
2012-9,74.2,74.2,69.1,79.6,"11,709",98.9,"8,988","8,672","8,991","8,695","8,549"
2012-10,73.8,74.2,68.9,79.7,"11,806",97.5,"9,055","8,736","9,025","8,721","8,425"
2012-11,73.8,74,68.7,79.5,"11,148",98.4,"9,071","8,762","9,055","8,743","8,501"
2012-12,74.2,73.9,68.7,79.3,"11,283",105.7,"9,214","8,898","9,082","8,760","9,133"
2013-1,74.1,74.2,68.9,79.8,"11,321",101.9,"9,070","8,733","9,105","8,771","8,805"
2013-2,74.5,74.5,69.4,79.7,"9,797",100.4,"9,127","8,765","9,126","8,778","8,678"
2013-3,74.5,74.4,69.2,79.9,"10,823",104.4,"9,112","8,755","9,145","8,783","9,026"
2013-4,74.8,74.8,69.9,79.8,"10,144",101.6,"9,180","8,803","9,163","8,788","8,779"
2013-5,74.2,74.1,69,79.4,"10,386",99.2,"9,169","8,805","9,181","8,791","8,574"
2013-6,74.6,74.5,69.6,79.5,"10,339",106,"9,278","8,859","9,199","8,791","9,162"
2013-7,74.6,74.7,69.4,80.3,"11,208",103.7,"9,262","8,809","9,213","8,788","8,963"
2013-8,74.3,74.6,69.1,80.2,"11,472",101.6,"9,296","8,860","9,224","8,782","8,779"
2013-9,74.7,74.8,69.1,80.8,"11,584",100.7,"9,356","8,898","9,230","8,774","8,708"
2013-10,74.6,75,69.4,80.9,"12,077",98.4,"9,277","8,797","9,234","8,766","8,505"
2013-11,74.5,74.8,69.5,80.2,"11,323",98.1,"9,264","8,787","9,237","8,761","8,477"
2013-12,74.8,74.5,69,80.2,"11,780",105,"9,296","8,814","9,241","8,760","9,073"
2014-1,75.3,75.2,70.4,80.2,"11,503",102.3,"9,286","8,812","9,248","8,766","8,842"
2014-2,75.9,75.8,70.9,80.9,"10,194",100.4,"9,229","8,760","9,260","8,779","8,676"
2014-3,75.9,75.8,71.2,80.6,"11,203",105.9,"9,320","8,813","9,276","8,799","9,153"
2014-4,75.6,75.4,70.7,80.3,"10,669",102.1,"9,282","8,825","9,295","8,823","8,821"
2014-5,75.8,75.6,71.1,80.3,"10,684",99.7,"9,360","8,896","9,316","8,848","8,613"
2014-6,75.4,75.4,70.8,80.1,"10,661",107.4,"9,370","8,909","9,337","8,873","9,281"
2014-7,75.2,75.3,71.2,79.6,"11,632",105.1,"9,418","8,946","9,356","8,896","9,081"
2014-8,74.9,75.1,70.6,79.8,"11,853",102.7,"9,397","8,954","9,372","8,915","8,878"
2014-9,75.4,75.6,70.8,80.6,"12,027",103.9,"9,410","8,965","9,387","8,932","8,978"
2014-10,75.1,75.2,70.7,79.8,"12,304",100.1,"9,453","8,995","9,402","8,948","8,655"
2014-11,75.8,75.9,71.1,80.9,"11,476",100.2,"9,421","8,955","9,415","8,964","8,662"
2014-12,76.2,75.8,71.1,80.7,"11,794",106.7,"9,460","8,991","9,429","8,980","9,221"
2015-1,75.7,75.8,71.1,80.8,"11,805",104.4,"9,450","9,010","9,442","8,997","9,025"
2015-2,75.8,75.8,70.7,81,"10,433",103.8,"9,429","9,042","9,455","9,015","8,971"
2015-3,76.1,76.2,71.2,81.3,"11,196",109.1,"9,441","9,036","9,469","9,032","9,431"
2015-4,76.6,76.3,71.5,81.4,"10,537",104.7,"9,522","9,103","9,483","9,049","9,048"
2015-5,76.4,76.2,70.8,81.7,"10,849",102.5,"9,572","9,142","9,497","9,067","8,855"
2015-6,76.6,76.5,71.4,81.7,"10,758",110.4,"9,544","9,100","9,514","9,087","9,543"
2015-7,76,76.2,71.2,81.4,"11,829",106.9,"9,512","9,073","9,533","9,109","9,236"
2015-8,76.3,76.6,71.9,81.3,"12,208",106.3,"9,641","9,203","9,552","9,134","9,184"
2015-9,76.4,76.5,71.8,81.4,"11,949",105.7,"9,675","9,263","9,570","9,160","9,138"
2015-10,76,76.5,71.6,81.5,"12,201",103.3,"9,643","9,234","9,587","9,185","8,930"
2015-11,76.1,75.9,70.8,81.3,"11,722",104.1,"9,674","9,271","9,603","9,209","8,999"
2015-12,76.5,76.3,71.2,81.6,"12,220",110,"9,641","9,251","9,617","9,232","9,509"
2016-1,75.9,75.9,71.1,80.8,"11,884",107,"9,663","9,274","9,632","9,256","9,246"
2016-2,75.9,75.8,71.1,80.7,"10,973",107,"9,672","9,299","9,648","9,279","9,252"
2016-3,76.2,76.2,71.4,81.2,"11,575",112.8,"9,757","9,405","9,666","9,302","9,748"
2016-4,76.9,76.6,72.2,81.2,"10,750",108.5,"9,713","9,370","9,686","9,324","9,374"
2016-5,77.1,76.8,72.2,81.5,"11,276",105.1,"9,701","9,345","9,708","9,345","9,087"
2016-6,76.9,76.9,72.5,81.3,"10,924",113,"9,761","9,388","9,733","9,366","9,765"
2016-7,76.9,77,72.2,82.1,"11,563",110.2,"9,852","9,448","9,761","9,389","9,524"
2016-8,76.7,76.9,72.1,81.8,"12,465",109.2,"9,839","9,445","9,791","9,413","9,442"
2016-9,76.5,76.5,72,81.1,"12,065",109.7,"9,807","9,430","9,821","9,437","9,485"
2016-10,76.5,76.8,72.2,81.5,"11,954",105.8,"9,979","9,594","9,850","9,460","9,143"
2016-11,76.8,76.8,72.4,81.3,"11,890",107.3,"9,943","9,563","9,876","9,479","9,270"
2016-12,77.1,76.9,72.4,81.6,"12,081",112.4,"9,880","9,487","9,900","9,497","9,715"
2017-1,76.9,76.8,72.2,81.6,"11,930",110.1,"9,905","9,494","9,924","9,516","9,514"
2017-2,77,76.9,72,82.1,"10,609",111,"10,029","9,607","9,949","9,538","9,595"
2017-3,76.9,76.9,72.2,81.7,"11,809",115.6,"10,012","9,569","9,975","9,564","9,995"
2017-4,77.1,77,71.9,82.2,"10,807",111.5,"10,076","9,649","10,002","9,594","9,635"
2017-5,77.3,77.2,72.2,82.3,"11,202",108.9,"10,185","9,756","10,029","9,624","9,411"
2017-6,76.8,76.9,72.1,81.9,"11,215",116.8,"10,058","9,683","10,053","9,652","10,092"
2017-7,77,77.2,72.2,82.3,"11,560",114,"10,095","9,730","10,073","9,674","9,852"
2017-8,76.4,76.6,72,81.4,"11,978",113,"10,178","9,788","10,091","9,692","9,770"
2017-9,77.1,77.4,72.9,82,"11,910",112.1,"10,175","9,764","10,109","9,707","9,691"
2017-10,77.1,77.3,73,81.8,"12,540",108.6,"10,142","9,712","10,130","9,721","9,383"
2017-11,77.5,77.3,73,81.7,"12,118",109.9,"10,184","9,761","10,153","9,737","9,497"
2017-12,77.7,77.5,73.1,82,"12,188",114.7,"10,150","9,707","10,181","9,755","9,916"
2018-1,77.4,77.2,73,81.5,"12,430",113.4,"10,243","9,813","10,214","9,777","9,804"
2018-2,77.6,77.5,73.5,81.7,"10,657",113.8,"10,251","9,807","10,252","9,802","9,837"
2018-3,77.4,77.7,73.3,82.2,"11,713",119.9,"10,377","9,913","10,294","9,830","10,362"
2018-4,77.5,77.2,73.1,81.5,"11,061",114.8,"10,454","9,984","10,337","9,857","9,921"
2018-5,78.1,78,73.9,82.3,"11,259",111.2,"10,393","9,908","10,379","9,883","9,609"
2018-6,77.8,77.9,74.1,81.8,"10,897",119.2,"10,458","9,936","10,418","9,906","10,305"
2018-7,77.7,77.8,74.1,81.6,"11,969",116.9,"10,478","9,949","10,452","9,926","10,101"
2018-8,77.5,77.7,74.2,81.3,"12,594",115.7,"10,499","9,985","10,479","9,941","9,997"
2018-9,77.1,77.3,73.7,81.2,"11,935",113.8,"10,648","10,095","10,500","9,953","9,832"
2018-10,76.9,77.2,73.5,81,"12,481",112.4,"10,595","10,031","10,517","9,962","9,712"
2018-11,77.1,77,73.5,80.5,"11,949",113.3,"10,643","10,064","10,532","9,970","9,789"
2018-12,77.9,77.6,73.8,81.4,"12,157",118.8,"10,549","10,008","10,551","9,980","10,270"
2019-1,77.6,77.5,73.5,81.7,"11,883",116,"10,555","9,990","10,576","9,995","10,023"
2019-2,78,77.9,74.4,81.5,"10,479",116.9,"10,608","10,034","10,608","10,016","10,106"
2019-3,78,78,73.8,82.3,"11,499",121.5,"10,704","10,087","10,648","10,045","10,500"
2019-4,78,77.9,74.1,81.7,"10,946",116.8,"10,692","10,082","10,691","10,079","10,097"
2019-5,77.9,77.9,74,81.9,"11,421",113.4,"10,791","10,135","10,732","10,114","9,798"
2019-6,77.5,77.6,73.8,81.6,"10,713",121.4,"10,786","10,167","10,769","10,149","10,490"
2019-7,76.8,76.8,72.6,81.2,"11,776",120.3,"10,906","10,305","10,799","10,179","10,395"
2019-8,77.3,77.5,73.9,81.2,"11,878",117.6,"10,846","10,245","10,823","10,203","10,165"
2019-9,78.1,78.1,74.8,81.5,"11,928",118.4,"10,843","10,248","10,841","10,220","10,234"
2019-10,77.4,77.7,74,81.5,"12,289",113.9,"10,876","10,266","10,851","10,230","9,842"
2019-11,78.1,78,74.3,81.7,"11,487",114.5,"10,877","10,259","10,848","10,228","9,897"
2019-12,77.7,77.5,73.7,81.4,"12,100",121.8,"10,820","10,191","10,823","10,210","10,527"
2020-1,77.8,77.6,73.8,81.6,"11,862",118.5,"10,865","10,247","10,769","10,169","10,240"
2020-2,77.6,77.5,73.9,81.2,"10,733",119.9,"10,851","10,260","10,685","10,103","10,364"
2020-3,76.8,76.7,73.4,80.1,"11,305",119,"10,342","9,758","11,826","11,203","10,282"
2020-4,76.5,76.5,72.6,80.5,"10,729",138.1,"12,775","12,119","11,700","11,104","11,938"
2020-5,76.1,76.1,72.8,79.5,"10,912",126.2,"11,977","11,437","11,593","11,019","10,905"
2020-6,75.9,75.9,73,78.9,"10,912",132.6,"11,496","10,951","11,526","10,968","11,457"
2020-7,75.6,75.7,73,78.6,"11,154",127.5,"11,452","10,916","11,515","10,963","11,023"
2020-8,75.8,75.9,73.3,78.7,"11,255",126.6,"11,524","10,963","11,559","11,003","10,947"
2020-9,75.7,76,72.9,79.1,"11,669",124.7,"11,358","10,801","11,642","11,076","10,777"
2020-10,75.6,75.9,73.1,78.8,"11,672",127,"12,115","11,511","11,741","11,159","10,976"
2020-11,75.8,75.4,72.8,78.1,"11,294",126.1,"11,877","11,269","11,827","11,227","10,896"
2020-12,74.9,74.8,72.4,77.4,"11,377",135.5,"11,971","11,353","11,879","11,260","11,712"
2021-1,74.9,74.8,72.5,77,"11,343",131.3,"12,097","11,457","11,892","11,254","11,345"
2021-2,74.3,74.2,72.1,76.4,"10,623",133,"12,053","11,397","11,870","11,213","11,494"
2021-3,75,74.7,72.5,77,"12,209",136.3,"11,825","11,133","11,829","11,153","11,780"
2021-4,75,75.1,72.8,77.4,"11,330",126.4,"11,749","11,063","11,786","11,090","10,928"
2021-5,74.3,74.4,71.5,77.4,"11,528",122.2,"11,689","10,987","11,751","11,035","10,565"
2021-6,75.5,75.4,72.5,78.3,"11,339",131.7,"11,732","10,984","11,729","10,991","11,380"
2021-7,75.6,75.7,72.9,78.6,"11,999",126.3,"11,706","10,951","11,719","10,959","10,919"
2021-8,76.2,76.1,73.6,78.6,"12,738",126.7,"11,765","10,953","11,721","10,936","10,951"
2021-9,76.1,76.2,73.8,78.7,"12,667",125.2,"11,986","11,159","11,733","10,921","10,823"
2021-10,76.1,76.5,73.7,79.5,"11,924",121.4,"11,684","10,848","11,755","10,911","10,492"
2021-11,77.7,77.7,74.8,80.7,"11,225",121.8,"11,758","10,886","11,786","10,904","10,527"
2021-12,77.8,77.6,74.9,80.5,"12,312",130.3,"11,807","10,881","11,825","10,901","11,260"
2022-1,78.2,78,75.4,80.6,"11,696",125.4,"11,864","10,901","11,870","10,898","10,836"
2022-2,78.8,78.8,75.5,82.2,"10,296",127.1,"11,898","10,869","11,918","10,894","10,985"
2022-3,78.8,78.5,75.6,81.5,"11,659",133.6,"12,019","10,934","11,969","10,890","11,549"
2022-4,78.5,78.4,75.5,81.5,"10,810",126.1,"12,020","10,888","12,020","10,885","10,900"
2022-5,78.4,78.5,75.8,81.3,"11,108",122,"12,075","10,886","12,070","10,881","10,541"
2022-6,78.9,78.8,76.6,81,"11,017",129.7,"12,074","10,825","12,118","10,876","11,208"
2022-7,78.7,78.7,76.1,81.3,"11,683",123.9,"12,106","10,774","12,161","10,867","10,709"
2022-8,79.3,79,76.7,81.4,"12,192",125.2,"12,211","10,876","12,196","10,853","10,819"
2022-9,78.7,78.7,76,81.6,"11,369",125.6,"12,277","10,908","12,226","10,835","10,858"
2022-10,77.9,78.3,75,81.8,"11,721",120.3,"12,276","10,850","12,256","10,816","10,395"
2022-11,78.5,78.6,75.8,81.6,"11,816",120.7,"12,300","10,827","12,292","10,803","10,433"
2022-12,78.4,78.5,75.3,81.9,"12,244",127.6,"12,195","10,663","12,341","10,802","11,032"
2023-1,78.9,78.8,75.5,82.2,"12,077",126.2,"12,559","10,943","12,404","10,816","10,904"
2023-2,79.3,79.3,76.5,82.1,"10,554",125.2,"12,351","10,725","12,478","10,843","10,822"
2023-3,79.8,79.3,76.2,82.5,"11,386",137,"12,888","11,162","12,554","10,877","11,840"
2023-4,78.7,79,76,82,"10,528",125.4,"12,769","11,028","12,628","10,914","10,839"
2023-5,79.3,79.3,76.5,82.1,"11,020",122.3,"12,715","10,972","12,697","10,952","10,572"
2023-6,79.1,78.9,76.1,81.8,"10,582",131.7,"12,746","10,954","12,766","10,990","11,387"
2023-7,79.2,79.1,76.5,81.9,"11,302",127.2,"12,799","11,014","12,837","11,031","10,990"
2023-8,79.5,79.2,76.5,81.9,"11,696",126.9,"12,902","11,059","12,917","11,077","10,971"
2023-9,78.7,78.8,76.1,81.7,"11,292",127.6,"12,979","11,099","13,005","11,130","11,027"
2023-10,78.5,78.8,76.3,81.4,"11,816",122.6,"12,996","11,082","13,096","11,182","10,597"
2023-11,78,78.3,76,80.6,"11,539",127.8,"13,426","11,431","13,182","11,229","11,046"
2023-12,78.2,78.2,75.7,80.8,"11,925",135.5,"13,404","11,381","13,255","11,262","11,711"
2024-1,78,77.9,75.5,80.4,,129.3,"13,283","11,285","13,313","11,280","11,172"
2024-2,78.4,78.3,75.9,80.8,,132.2,"13,391","11,347","13,354","11,281","11,425"
2024-3,79,78.5,75.8,81.2,,136.8,"13,359","11,259","13,381","11,267","11,821"
2024-4,78.7,78.8,76,81.6,,130.2,"13,347","11,211","13,398","11,244","11,250"
2024-5,78.4,78.5,75.9,81.2,,125.4,"13,453","11,287","13,411","11,218","10,835"
2024-6,78.8,78.6,75.9,81.4,,133.9,"13,465","11,249","13,424","11,194","11,575"
2024-7,78.8,78.6,76,81.2,,130,"13,472","11,234","13,441","11,175","11,237"
2024-8,78.7,78.4,75.9,81.1,,126.4,"13,364","11,066","13,464","11,164","10,925"
2024-9,78.7,78.4,76,80.9,,128.3,"13,413","11,101","13,494","11,159","11,092"
2024-10,77.7,78.3,76,80.7,,125.7,"13,642","11,229","13,532","11,161","10,865"
2024-11,77.9,78.4,76.3,80.5,,123.9,"13,572","11,168","13,577","11,167","10,706"
2024-12,78.2,78.3,76.2,80.4,,136.1,"13,831","11,363","13,627","11,176","11,767"
2025-1,78.9,78.9,77,80.8,,126.9,"13,520","11,061","13,679","11,188","10,969"
2025-2,78.6,78.5,76.3,80.8,,130,"13,650","11,176","13,731","11,204","11,239"
2025-3,79.1,78.6,76.7,80.6,,138.9,"13,876","11,297","13,781","11,222","12,004"
2025-4,78.9,78.9,76.7,81.1,,130.2,"13,875","11,268","13,827","11,240","11,250"
2025-5,79.2,79.2,77,81.4,,,,,,,
