T,M_emp,M_self,M_un,F_emp,F_self,F_un,salary
2012-1,84,15.2,0.8,91.1,7.9,1,100.2
2012-2,83.2,15.8,1,90.9,8.3,0.8,98.8
2012-3,84.1,14.9,1,91,8.1,0.9,102.3
2012-4,83.9,15,1.1,90.8,8.1,1.1,98.9
2012-5,83.5,15.2,1.3,90.7,8.2,1.1,98.9
2012-6,83.3,15.8,0.9,91.4,7.7,0.9,104.9
2012-7,84,15.1,0.9,91.5,7.6,0.9,102.8
2012-8,83.8,15.4,0.8,92,7.2,0.8,99.9
2012-9,84.1,15.4,0.5,91.9,7.4,0.7,98.9
2012-10,83.6,15.3,1.1,91.7,7.2,1.1,97.5
2012-11,84.2,14.8,1,91.3,7.7,1,98.4
2012-12,84,15,1,91,7.9,1.1,105.7
2013-1,84.2,14.7,1.1,90.9,7.8,1.3,101.9
2013-2,83.8,14.9,1.3,91.1,7.7,1.2,100.4
2013-3,84.1,14.5,1.4,91.1,7.6,1.3,104.4
2013-4,83.6,14.8,1.6,90.5,8.2,1.3,101.6
2013-5,83.4,15.3,1.3,90.8,8,1.2,99.2
2013-6,83.6,15.4,1,91.2,7.7,1.1,106
2013-7,84.5,14.7,0.8,91.2,7.8,1,103.7
2013-8,84.5,14.7,0.8,91.4,7.8,0.8,101.6
2013-9,84.7,14.4,0.9,90.6,8.6,0.8,100.7
2013-10,84.9,14.1,1,90.9,8.1,1,98.4
2013-11,84.5,14.3,1.2,91.5,7.5,1,98.1
2013-12,84.7,14.3,1,91.1,8,0.9,105
2014-1,84.6,14.1,1.3,91.2,7.6,1.2,102.3
2014-2,84.6,14.4,1,91.1,8,0.9,100.4
2014-3,84.7,14.4,0.9,91.2,7.8,1,105.9
2014-4,84.6,14.5,0.9,91.2,7.7,1.1,102.1
2014-5,84.2,14.9,0.9,90.6,8.3,1.1,99.7
2014-6,85,14.3,0.7,90.6,8.5,0.9,107.4
2014-7,84.4,14.7,0.9,90.1,8.9,1,105.1
2014-8,85.1,14,0.9,90.4,8.6,1,102.7
2014-9,84.7,14.7,0.6,90.4,9,0.6,103.9
